molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,target_organism
CHEMBL293818,CCCCCCNC(=O)N(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,IC50,10000.0,nM,5.00,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL54885,CNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,IC50,7300.0,nM,5.14,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL54821,CCCCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,IC50,1300.0,nM,5.89,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL53359,CCCCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,IC50,530.0,nM,6.28,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL291467,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,IC50,63.0,nM,7.20,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL295502,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1noc(CCCC2CCCC2)n1,IC50,42.0,nM,7.38,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL301594,CN(CCc1ccccc1)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,IC50,2500.0,nM,5.60,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL53842,CCCCCCNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,IC50,36000.0,nM,4.44,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL298594,CCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,IC50,510.0,nM,6.29,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL56767,CCCCCCCCc1csc(N(C)c2ccc(S(=O)(=O)Nc3ccccc3)cc2)n1,IC50,440.0,nM,6.36,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL56768,CCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1,IC50,52.0,nM,7.28,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL433454,Cc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,IC50,750.0,nM,6.12,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL296380,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)c1,IC50,1500.0,nM,5.82,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL294008,CCCCCCCCC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,IC50,1000.0,nM,6.00,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL57430,CCCCCCCCNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,IC50,630.0,nM,6.20,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL53517,CN(C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21)C(C)(C)Cc1ccccc1,IC50,8000.0,nM,5.10,CHEMBL647882,In vitro binding affinity towards cloned human beta-2 adrenergic receptor using [125I]iodocyanopindolol as radioligand to stimulate increase in cAMP in CHO cells,B,Homo sapiens
CHEMBL317003,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(-n4cc(CC(=O)O)c5ccccc54)cc3)CC2)ccc1O,EC50,30.0,nM,7.52,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL101521,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(c3ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc3)CC2)ccc1O,EC50,5.0,nM,8.30,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL101630,CC(C)C[C@H](NC(=O)c1ccc(N2CCC(CNC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1)C(=O)O,EC50,1000.0,nM,6.00,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL100351,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(-n4ccc5c(C(=O)O)cccc54)cc3)CC2)ccc1O,EC50,60.0,nM,7.22,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL98088,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(c3ccc(C(=O)N[C@@H](Cc4ccccc4)C(=O)O)cc3)CC2)ccc1O,EC50,20000.0,nM,4.70,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL100589,CC(C)N(Cc1cc(F)ccc1F)C(=O)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1,EC50,12.0,nM,7.92,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL101606,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(-n4cc(C(=O)O)cn4)cc3)CC2)ccc1O,EC50,10.0,nM,8.00,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL99599,CCCCCCCCC(=O)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1,EC50,30.0,nM,7.52,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL99219,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(NC(=O)NCc4cc(F)ccc4F)cc3)CC2)ccc1O,EC50,30.0,nM,7.52,CHEMBL650240,Beta-2 adrenergic receptor agonist activity was determined by a measurement of increased cAMP levels in CHO cells expressing human Beta-2 adrenergic receptor,F,Homo sapiens
CHEMBL101674,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(NC(=O)N[C@@H](Cc4ccccc4)C(=O)O)cc3)CC2)ccc1O,EC50,20.0,nM,7.70,CHEMBL650242,Beta-2 adrenergic receptor agonist activity as increased cAMP levels in CHO cells expressing human Beta-2-adrenoceptor,F,Homo sapiens
CHEMBL282618,NCCCCCOC[C@H]1O[C@@H](OCCc2c[nH]c3ccccc23)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,IC50,3000.0,nM,5.52,CHEMBL647109,Binding affinity towards cloned human Beta-2 adrenergic receptor,B,Homo sapiens
CHEMBL281200,NCCCCCOC[C@H]1O[C@@H](OCCc2c[nH]c3ccccc23)[C@H](OCc2ccccc2)C[C@@H]1OCc1ccccc1,IC50,3000.0,nM,5.52,CHEMBL647109,Binding affinity towards cloned human Beta-2 adrenergic receptor,B,Homo sapiens
CHEMBL33438,CCC(=O)CCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,12000.0,nM,4.92,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL285458,CCCCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,2500.0,nM,5.60,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL33168,Cc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,10000.0,nM,5.00,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL33755,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(CCCC3CCCCC3)n2)cc1,IC50,660.0,nM,6.18,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL284965,CC(C)CCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,1000.0,nM,6.00,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL33725,CCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,3000.0,nM,5.52,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL418411,CC(O)CCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,44000.0,nM,4.36,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL32996,O=C(CCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1)N1CCCC1,IC50,51000.0,nM,4.29,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL288083,CCCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,1415.0,nM,5.85,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL286800,CC(=O)CCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,57000.0,nM,4.24,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL433042,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(CCCC3CCCC3)n2)cc1,IC50,962.0,nM,6.02,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL33013,CCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,8500.0,nM,5.07,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL286139,CCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,6500.0,nM,5.19,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL285242,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(CCOC3CCCC3)n2)cc1,IC50,2667.0,nM,5.57,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL285481,CCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,1000.0,nM,6.00,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL34328,CCC(O)CCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,IC50,24000.0,nM,4.62,CHEMBL647108,Binding affinity towards Beta-2 adrenergic receptor prepared from CHO cells expressing the cloned human receptor in the presence of [125I]iodocyanopindolol,B,Homo sapiens
CHEMBL67886,COc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(I)cc3)cc2)cc1,IC50,150.0,nM,6.82,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL36568,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(C(=O)NCC(=O)O)cc3)CC2)ccc1O,EC50,40.0,nM,7.40,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL35282,CC(C)[C@H](NC(=O)c1ccc(N2CCC(NC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1)C(=O)O,Ki,3600.0,nM,5.44,CHEMBL822409,Inhibition of I-iodocyanopindolol binding to human beta 2 adrenergic receptors,B,Homo sapiens
CHEMBL284612,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(NC(=O)CC(=O)O)cc3)CC2)ccc1O,EC50,900.0,nM,6.05,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL63842,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc2)cn1,IC50,380.0,nM,6.42,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL67461,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3cnc4ccccc4c3)cc2)cn1,IC50,1300.0,nM,5.89,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL32521,CCCCN(CC(=O)O)C(=O)c1ccc(N2CCC(NC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1,EC50,10500.0,nM,4.98,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL67416,COc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(N)nc3)cc2)cc1,IC50,620.0,nM,6.21,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL67534,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2)cn1,IC50,990.0,nM,6.00,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL64936,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Cl)cc1,IC50,430.0,nM,6.37,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL64201,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(I)cc3)cc2)cn1,IC50,28.0,nM,7.55,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL67251,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccccc1,IC50,750.0,nM,6.12,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL67993,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccccc3)cc2)cn1,IC50,630.0,nM,6.20,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL418600,CCCCN(C(=O)CC(=O)O)c1ccc(N2CCC(NC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1,EC50,60.0,nM,7.22,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL67672,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)cn1,IC50,1000.0,nM,6.00,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL304878,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(F)cc2)cc1)c1ccc(I)cc1,IC50,100.0,nM,7.00,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL12998,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,EC50,20.0,nM,7.70,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL286574,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(C(N)=O)cc3)CC2)ccc1O,EC50,270.0,nM,6.57,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL64932,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(F)cc1,IC50,900.0,nM,6.05,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL292947,CC(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3cccnc3)cc2)cc1,IC50,410.0,nM,6.39,CHEMBL647874,Evaluated for its agonist activity and the binding affinity against human Beta-2 adrenergic receptor in membranes from chinese hamster ovary cell,B,Homo sapiens
CHEMBL417325,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(C(=O)N4CCC[C@H]4C(=O)O)cc3)CC2)ccc1O,EC50,20.0,nM,7.70,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL285881,CC(C)C[C@H](NC(=O)c1ccc(N2CCC(NC[C@H](O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1)C(=O)O,EC50,80.0,nM,7.10,CHEMBL821784,Increased cAMP levels of Chinese hamster ovary (CHO) cells expressing human beta 2 adrenergic receptors,F,Homo sapiens
CHEMBL32590,C[C@H](Cc1ccc2c(c1)OC(C(=O)[O-])(C(=O)[O-])O2)NC[C@H](O)c1cccc(Cl)c1.[Na+].[Na+],Ki,79200.0,nM,4.10,CHEMBL822409,Inhibition of I-iodocyanopindolol binding to human beta 2 adrenergic receptors,B,Homo sapiens
